species_code,common_name,season,modeled_region,start_year,end_year,start_date,end_date,rsquared,beta0
abetow,Abert's Towhee,resident,north_america,2012,2022,01-25,05-10,0.923182050289446,-0.01392301179359274
acafly,Acadian Flycatcher,breeding,north_america,2012,2022,05-24,08-02,0.8570362779092368,0.6894247918028311
acowoo,Acorn Woodpecker,resident,north_america,2011,2021,11-01,05-03,0.8805367018685081,-0.0926707136000912
aldfly,Alder Flycatcher,breeding,north_america,2012,2022,06-21,07-12,0.7868722876265637,-0.16241275717672704
alepar2,Alexandrine Parakeet,resident,india_se_asia,2015,2022,07-26,12-06,0.8195701837684283,0.3190395495274356
allhum,Allen's Hummingbird,breeding,north_america,2012,2022,03-22,06-07,0.9094200104897142,-0.11700338251815576
altori,Altamira Oriole,resident,north_america,2011,2021,10-04,05-10,0.8519290645128487,0.1650583271368865
ambduc,American Black Duck,nonbreeding,north_america,2011,2021,12-13,02-15,0.7973893180464775,-0.0037932123834704
ameavo,American Avocet,breeding,north_america,2012,2022,05-10,06-21,0.699910423168215,0.11201728191916951
amebit,American Bittern,breeding,north_america,2012,2022,06-07,07-26,0.7977301151688913,0.01325919620980486
amecro,American Crow,breeding,north_america,2012,2022,05-10,07-05,0.8960495757922355,0.02395541284474719
amedip,American Dipper,resident,north_america,2012,2022,05-03,07-26,0.8039294319205896,-0.13220242696676898
amegfi,American Goldfinch,breeding,north_america,2012,2022,05-31,08-23,0.8486740387130438,-0.131309286810585
amekes,American Kestrel,breeding,north_america,2012,2022,05-17,08-09,0.8772231810867616,0.8910735739526452
ameoys,American Oystercatcher,breeding,north_america,2012,2022,05-10,07-26,0.7696020507830622,0.8335676787071931
amepip,American Pipit,nonbreeding,north_america,2011,2021,12-20,02-08,0.7927790241894491,0.6028659278276968
amered,American Redstart,breeding,north_america,2012,2022,06-21,07-12,0.8348992359787902,-0.10659867002790892
amerob,American Robin,breeding,north_america,2012,2022,05-24,08-09,0.9006561720890703,-0.1802851252114904
amewig,American Wigeon,nonbreeding,north_america,2011,2021,12-13,01-18,0.7219101163632462,0.1837198550018698
amtspa,American Tree Sparrow,nonbreeding,north_america,2011,2021,12-13,02-15,0.8622126441416966,0.49998412132419223
amwpel,American White Pelican,breeding,north_america,2012,2022,05-31,08-09,0.7451747691654443,0.14960807736729534
andgoo1,Andean Goose,nonbreeding,south_america,2015,2022,03-08,11-01,0.4524515988521261,0.4831708488167796
andsol1,Andean Solitaire,resident,south_america,2015,2022,06-07,12-27,0.685939184051472,1.3525237549107314
anhing,Anhinga,breeding,north_america,2012,2022,05-03,07-19,0.7544425212075221,0.29331991812779834
annhum,Anna's Hummingbird,breeding,north_america,2012,2022,01-25,05-03,0.9393134861359006,0.21166141700274835
antnig,Antillean Nighthawk,breeding,north_america,2012,2022,05-10,08-09,0.7416122722614457,0.8677653968628815
aplfal,Aplomado Falcon,resident,south_america,2015,2022,01-25,05-10,0.5632391871926413,1.0083552062095806
arcter,Arctic Tern,breeding,north_america,2012,2022,06-14,06-28,0.45702169717882735,1.2025912815085438
ariwoo,Arizona Woodpecker,resident,north_america,2011,2021,12-06,05-31,0.7559818693399606,-1.3645360884011304
ascspl1,Ashy-crowned Sparrow-Lark,resident,india_se_asia,2015,2022,08-09,10-04,0.7209745500504707,1.150279062197986
asfblu1,Asian Fairy-bluebird,resident,india_se_asia,2014,2021,11-29,03-15,0.6880480854627434,1.3745448958906956
ashpri1,Ashy Prinia,resident,india_se_asia,2015,2022,06-21,10-04,0.8598449449249005,0.409473816400189
asikoe2,Asian Koel,breeding,india_se_asia,2015,2022,05-17,07-26,0.874459217123499,0.19515202844381457
aspfly1,Indian Paradise-Flycatcher,nonbreeding,india_se_asia,2014,2021,11-29,03-01,0.8624269793532279,-0.10759582648007894
astfly,Ash-throated Flycatcher,breeding,north_america,2012,2022,05-31,07-19,0.8738395759253209,-0.17313233228317557
audori,Audubon's Oriole,resident,north_america,2011,2021,11-01,05-03,0.8696870849602112,0.6838951337711815
aukpar1,Australian King-Parrot,resident,aus_nz,2014,2022,07-19,10-18,0.7357790036776912,0.2099335042931735
ausbla1,Austral Blackbird,breeding,south_america,2014,2021,11-01,04-12,0.8309147695570446,0.4246152977113546
ausgre1,Australasian Grebe,resident,aus_nz,2014,2022,01-04,12-28,0.8510085736509001,0.46699396470354537
ausibi1,Australian Ibis,breeding,aus_nz,2013,2021,12-06,03-15,0.7152711221518735,-0.02836888210816502
auskes1,Nankeen Kestrel,breeding,aus_nz,2013,2021,08-02,03-01,0.8513993782332862,-0.2961833126730813
ausmag2,Australian Magpie,resident,aus_nz,2014,2022,07-26,09-27,0.872039272450507,0.25825853831379375
ausneg1,Austral Negrito,breeding,south_america,2014,2021,10-25,02-01,0.6892219134999178,0.6902179615094252
auspip2,Australian Pipit,resident,aus_nz,2014,2022,07-26,10-04,0.7731547655082076,-0.21760630179424864
ausrav1,Australian Raven,resident,aus_nz,2014,2022,07-12,10-11,0.7868223828396271,0.11189391256485536
aussho1,Australasian Shoveler,resident,aus_nz,2014,2022,01-04,03-15,0.5616954591226058,-0.1896614904524564
austhr1,Austral Thrush,resident,south_america,2015,2022,05-24,09-27,0.795302632635717,0.04180653606262968
azaspi1,Azara's Spinetail,resident,south_america,2014,2021,12-27,05-10,0.6506271133411703,0.3828594499733189
azchum1,Azure-crowned Hummingbird,resident,north_america,2012,2022,07-05,09-27,0.714095067937498,-0.08301763256222823
azwmag3,Iberian Magpie,resident,iberia,2014,2022,03-01,06-07,0.7851085201685951,0.29695470957739384
babwar,Bay-breasted Warbler,breeding,north_america,2012,2022,06-14,07-19,0.7872760966119522,1.0644424361491742
bacspa,Bachman's Sparrow,resident,north_america,2012,2022,02-08,06-07,0.6538335265420501,0.4303407246061749
baisan,Baird's Sandpiper,nonbreeding,south_america,2014,2021,11-15,02-15,0.4812681889770242,0.5766428776495004
baleag,Bald Eagle,breeding,north_america,2012,2022,05-24,07-19,0.8329033307694151,0.08575340820496566
balori,Baltimore Oriole,breeding,north_america,2012,2022,06-07,07-26,0.9277541711395176,0.39641706084845446
banana,Bananaquit,resident,south_america,2015,2022,06-21,12-20,0.7664364344270926,0.25916603851433284
banmyn1,Bank Myna,resident,india_se_asia,2015,2022,06-14,10-04,0.5689322308202064,0.24403154149802572
banswa,Bank Swallow,breeding,north_america,2012,2022,06-07,06-21,0.8143241785267993,0.16389390740887463
banwre1,Banded Wren,resident,north_america,2012,2022,02-01,05-24,0.7507488215465814,0.564469999817795
bargol,Barrow's Goldeneye,nonbreeding,north_america,2012,2022,01-04,02-01,0.7761039390927262,0.4964377132831596
barswa,Barn Swallow,breeding,north_america,2012,2022,05-31,07-12,0.9000064433988217,0.1649328107740404
batpig1,Band-tailed Pigeon,breeding,north_america,2012,2022,05-17,07-19,0.8742384965886076,0.2240629436351536
bawswa1,Blue-and-white Swallow,breeding,south_america,2014,2021,10-25,03-01,0.7840105641341398,0.4856503512575977
bawwar,Black-and-white Warbler,breeding,north_america,2012,2022,06-07,07-05,0.8483572884516319,0.3476219778123663
bbwduc,Black-bellied Whistling-Duck,breeding,north_america,2012,2022,05-24,08-02,0.807403307948638,0.3285311299230666
bcnher,Black-crowned Night-Heron,breeding,north_america,2012,2022,06-07,08-23,0.7955519756825856,0.3348824243452506
belkin1,Belted Kingfisher,breeding,north_america,2012,2022,05-24,06-28,0.9019899437239608,0.00117124806370045
belmin1,Bell Miner,resident,aus_nz,2013,2021,12-20,05-17,0.8043579370204289,0.5575962590225167
belspa2,Bell's Sparrow,breeding,north_america,2012,2022,03-15,06-07,0.7545370939284437,1.0529314013761366
belvir,Bell's Vireo,breeding,north_america,2012,2022,06-07,08-09,0.8433141325101086,0.01984625544499881
berhum,Berylline Hummingbird,resident,north_america,2012,2022,06-28,12-20,0.6818373081932328,-0.0994754367858885
bewwre,Bewick's Wren,breeding,north_america,2012,2022,05-17,07-26,0.8967069640511001,0.1790055592473406
bicthr,Bicknell's Thrush,breeding,north_america,2012,2022,06-07,07-12,0.7296382151284364,0.6306313963381869
bkbcuc,Black-billed Cuckoo,breeding,north_america,2012,2022,06-14,08-09,0.8720139500200392,0.9778165115729208
bkbmag1,Black-billed Magpie,resident,north_america,2011,2021,10-11,03-15,0.8658545439340803,-0.2843426066618841
bkbplo,Black-bellied Plover,nonbreeding,north_america,2011,2021,12-06,03-22,0.7615466731729088,-0.03697180333581617
bkbwar,Blackburnian Warbler,breeding,north_america,2012,2022,06-14,07-26,0.8275069030897197,0.8547574229749815
bkbwoo,Black-backed Woodpecker,resident,north_america,2012,2022,04-19,06-21,0.5869774735088968,0.8999771103222678
bkcchi,Black-capped Chickadee,resident,north_america,2011,2021,12-06,03-01,0.9158603061140136,0.04799655441833971
bkchum,Black-chinned Hummingbird,breeding,north_america,2012,2022,05-31,07-19,0.837531298154275,-0.02097109647811107
bkcspa,Black-chinned Sparrow,breeding,north_america,2012,2022,05-10,08-09,0.7619396350761661,0.1027968706223073
bkcvir1,Black-capped Vireo,breeding,north_america,2012,2022,06-07,07-05,0.5819688566672704,0.12688956644771196
bkhgro,Black-headed Grosbeak,breeding,north_america,2012,2022,06-21,07-05,0.878377537951505,-0.1112670182957934
bknsti,Black-necked Stilt,breeding,north_america,2012,2022,05-31,07-05,0.7386319592104167,0.1985707680642361
bkpwar,Blackpoll Warbler,breeding,north_america,2012,2022,06-21,07-26,0.7734060248168764,0.723420986443241
bkrfla1,Black-rumped Flameback,resident,india_se_asia,2015,2022,01-18,08-30,0.8589435509176588,-0.1476948993590566
bktgna,Black-tailed Gnatcatcher,resident,north_america,2011,2021,11-15,03-15,0.8474152040154864,-0.6928896631735535
bktspa,Black-throated Sparrow,breeding,north_america,2012,2022,05-31,07-19,0.8431680940757197,0.6210869009063265
bkvshe,Black-vented Shearwater,nonbreeding,north_america,2011,2021,11-15,01-18,0.7399791977713907,-0.8115019855007112
bkwvir,Black-whiskered Vireo,breeding,north_america,2012,2022,05-03,08-09,0.7673085541409889,-0.4259195940611293
blabul1,Black Bulbul,breeding,taiwan,2012,2022,06-07,08-23,0.8751464657068208,-0.1997254352333192
blakit1,Black Kite,nonbreeding,india_se_asia,2014,2021,12-06,01-25,0.6090157435673655,0.2176828530416565
blcjay1,Black-chested Jay,resident,south_america,2015,2022,08-30,12-27,0.682863044308558,-0.0622293577046368
blcsis2,Black-chinned Siskin,resident,south_america,2015,2022,05-24,09-20,0.7830855749629758,0.5220149702239233
blctit4,Black-crested Titmouse,resident,north_america,2012,2022,02-08,05-31,0.8868581855400289,0.06810010835579716
blfdot1,Black-fronted Dotterel,resident,aus_nz,2014,2022,07-12,11-01,0.8237686683888285,0.5178903285422481
blhpar1,Blue-headed Parrot,resident,south_america,2015,2022,08-30,12-20,0.7365388921848143,0.772717902977315
blkflo1,Black Flowerpiercer,resident,south_america,2015,2022,07-19,11-29,0.6163621061013909,0.00371626289722051
blkoys,Black Oystercatcher,resident,north_america,2012,2022,02-01,05-17,0.766772439682875,0.5102029098316668
blkpho,Black Phoebe,breeding,north_america,2012,2022,04-05,08-30,0.9139387544597356,0.00759393695424604
blksco2,Black Scoter,nonbreeding,north_america,2011,2021,11-29,03-08,0.5850347723268441,1.0833659019850996
blkski,Black Skimmer,breeding,north_america,2012,2022,06-07,08-02,0.6901419735818028,0.3658871366367063
blkswi,Black Swift,breeding,north_america,2012,2022,06-14,07-19,0.6732413122285572,0.5832604686311413
blkter,Black Tern,breeding,north_america,2012,2022,06-07,06-28,0.7546341452858565,0.43835651747224896
blktur,Black Turnstone,nonbreeding,north_america,2011,2021,11-22,04-05,0.7754585340077805,1.020607058330654
blkvul,Black Vulture,resident,north_america,2012,2022,01-04,05-10,0.8615560360007894,0.05285599517817702
blrwar1,Blyth's Reed Warbler,nonbreeding,india_se_asia,2014,2021,11-01,03-29,0.8486599128720049,0.1822812473787911
blttit2,Black-throated Tit,resident,taiwan,2012,2022,01-04,04-26,0.521680743446212,2.780017260465547
blubun,Blue Bunting,resident,north_america,2011,2021,11-15,05-10,0.776816298461738,-0.14899778335296027
blueth,Bluethroat,nonbreeding,india_se_asia,2014,2021,12-06,02-08,0.6236289839815574,0.2978412234940786
blugrb1,Blue Grosbeak,breeding,north_america,2012,2022,06-07,08-09,0.8623941532129379,0.06199943620949876
blujay,Blue Jay,breeding,north_america,2012,2022,06-07,08-02,0.8356031647266127,-0.14885086276701903
blumoc,Blue Mockingbird,resident,north_america,2012,2022,01-04,04-05,0.820272161810734,-0.00328556997704053
blutit,Eurasian Blue Tit,resident,iberia,2013,2021,12-13,04-26,0.8427766495240393,0.08151190725573068
bncfly,Brown-crested Flycatcher,breeding,north_america,2012,2022,05-10,07-19,0.8453467026551528,0.28022288563200026
bnhcow,Brown-headed Cowbird,breeding,north_america,2012,2022,05-24,06-28,0.8967898230931126,0.21173724436077884
bnhnut,Brown-headed Nuthatch,resident,north_america,2012,2022,01-04,04-26,0.8256249174645724,0.08973197563118646
boboli,Bobolink,breeding,north_america,2012,2022,06-07,07-12,0.9106288704727727,0.2254198976890349
bohwax,Bohemian Waxwing,nonbreeding,north_america,2011,2021,12-20,02-15,0.852894712060911,0.21585203876498996
bongul,Bonaparte's Gull,nonbreeding,north_america,2011,2021,12-20,02-08,0.565026046033126,1.2394330849229822
borchi2,Boreal Chickadee,resident,north_america,2012,2022,04-12,06-14,0.7429702662592333,-0.05708445805394525
botgra,Boat-tailed Grackle,resident,north_america,2012,2022,01-11,04-19,0.8515686100955503,-0.06153075098615534
bracor,Brandt's Cormorant,resident,north_america,2012,2022,07-05,09-13,0.75367403863165106,0.2458631397192677
brant,Brant,nonbreeding,north_america,2011,2021,12-06,02-08,0.5690457878517439,0.5022963615802035
brasta1,Brahminy Starling,breeding,india_se_asia,2015,2022,05-03,08-30,0.7947393874607918,0.27498270214106113
bratea1,Brazilian Teal,resident,south_america,2014,2021,12-13,03-01,0.7077555596154873,0.5461249096439633
brbhum,Broad-billed Hummingbird,breeding,north_america,2012,2022,05-24,07-26,0.782254128153922,0.4907930098822011
brbsol1,Brown-backed Solitaire,resident,north_america,2012,2022,01-11,05-31,0.8351591880748551,-0.09332383698382772
brcmar1,Brown-chested Martin,breeding,south_america,2014,2021,12-13,02-22,0.6604191760576792,1.299231586476854
brdowl,Barred Owl,resident,north_america,2012,2022,01-11,05-03,0.810450660002812,0.5071795466075191
brebla,Brewer's Blackbird,breeding,north_america,2012,2022,05-24,08-23,0.8779099968821906,0.47083740664245616
brebul1,Brown-eared Bulbul,resident,japan,2016,2022,08-30,12-27,0.8004339757924318,0.8925103465778168
brespa,Brewer's Sparrow,breeding,north_america,2012,2022,06-14,07-12,0.8548920212413739,0.00115509861539697
brhpar1,Brown-hooded Parrot,resident,north_america,2011,2021,09-06,03-15,0.8481866864114648,0.9976902003950092
britit,Bridled Titmouse,resident,north_america,2012,2022,02-08,05-31,0.8638642421172343,0.16042283875319752
brncre,Brown Creeper,breeding,north_america,2012,2022,05-17,09-06,0.8191589253296339,0.7075487786645389
brnjay,Brown Jay,resident,north_america,2011,2021,11-29,03-15,0.8678068647452774,0.07365149438300565
brnowl,Barn Owl,resident,north_america,2012,2022,02-22,05-10,0.8027386246942975,1.0519110711765598
brnpel,Brown Pelican,breeding,north_america,2012,2022,05-10,06-28,0.7958847792184942,0.3649957476995824
brnshr,Brown Shrike,nonbreeding,india_se_asia,2014,2021,11-29,03-29,0.835034605601247,0.2004242944026403
brnthr,Brown Thrasher,breeding,north_america,2012,2022,05-31,08-30,0.9161702848093978,-0.16270069543123808
brocow,Bronzed Cowbird,breeding,north_america,2012,2022,05-17,07-19,0.8158125975454326,-0.10428661962737482
brofal1,Brown Falcon,resident,aus_nz,2014,2022,04-05,09-27,0.867634396984458,0.24496026937619855
brogos1,Brown Goshawk,resident,aus_nz,2014,2022,07-12,09-20,0.736073228896086,0.9822104098718244
broqua1,Brown Quail,resident,aus_nz,2013,2021,08-30,02-15,0.6830548734941091,0.5465256699714826
brotho1,Brown Thornbill,resident,aus_nz,2014,2022,06-07,08-30,0.8213912188310495,0.2532541359369534
brthum,Broad-tailed Hummingbird,breeding,north_america,2012,2022,05-31,07-12,0.8242578599485707,0.14963704140060588
bruwat1,Little Wattlebird,resident,aus_nz,2014,2022,06-28,08-30,0.7101362447645253,-0.3849798290168828
brwhaw,Broad-winged Hawk,breeding,north_america,2012,2022,06-14,07-26,0.8366917947619221,0.3580405571085418
brwjac1,Bronze-winged Jacana,resident,india_se_asia,2014,2021,11-08,01-11,0.7907751787815623,-0.2746076312094694
brwpar1,Bronze-winged Parrot,resident,south_america,2015,2022,08-30,12-27,0.7686504342707368,1.1336605657353571
btbwar,Black-throated Blue Warbler,breeding,north_america,2012,2022,06-14,08-16,0.8275241852194193,0.9862156474248364
btnwar,Black-throated Green Warbler,breeding,north_america,2012,2022,06-14,07-26,0.8569366576397537,0.26610572419541334
btther1,Bare-throated Tiger-Heron,resident,north_america,2011,2021,09-27,01-18,0.7164351855126603,0.13654434236592997
btywar,Black-throated Gray Warbler,breeding,north_america,2012,2022,06-07,07-26,0.9016408929962704,0.3251685738466673
bubhum,Buff-bellied Hummingbird,resident,north_america,2012,2022,03-01,05-10,0.7799138147514584,0.92045775995494
buffle,Bufflehead,nonbreeding,north_america,2011,2021,12-27,02-08,0.793365240706079,0.24799932733526103
buggna,Blue-gray Gnatcatcher,breeding,north_america,2012,2022,06-07,07-26,0.9019710909838784,-0.02716996493317705
bugtan,Blue-gray Tanager,resident,south_america,2015,2022,09-27,12-27,0.8552840921313635,0.06693099055083988
buhvir,Blue-headed Vireo,breeding,north_america,2012,2022,06-07,08-02,0.7579837490086816,0.8484554245883611
bulori,Bullock's Oriole,breeding,north_america,2012,2022,06-07,06-28,0.8867439702545553,0.2832480028073614
bunibi1,Buff-necked Ibis,resident,south_america,2015,2022,08-30,12-13,0.5816668316310952,0.9297785044897854
burowl,Burrowing Owl,breeding,north_america,2012,2022,05-17,08-02,0.6634371436437259,0.9818787274729328
bushti,Bushtit,resident,north_america,2012,2022,02-15,05-10,0.9343346239812418,0.32580801691757194
buthum,Blue-throated Mountain-gem,resident,north_america,2012,2022,04-05,08-09,0.718280612333941,-1.0299556289129574
buwtea,Blue-winged Teal,breeding,north_america,2012,2022,06-14,07-12,0.8376501936431044,0.4558095520086923
buwwar,Blue-winged Warbler,breeding,north_america,2012,2022,05-31,07-26,0.829876176076741,0.7665427067534698
cacgoo1,Cackling Goose,nonbreeding,north_america,2012,2022,01-04,01-25,0.8138086043862114,0.2063787594696253
cacwre,Cactus Wren,resident,north_america,2011,2021,12-06,04-26,0.8838001629501955,0.313596498926197
calgna,California Gnatcatcher,resident,north_america,2012,2022,02-08,03-29,0.8740863708819604,-0.9396929696461156
calgul,California Gull,breeding,north_america,2012,2022,05-17,06-21,0.673954108760779,0.6133756023990065
calhum,Calliope Hummingbird,breeding,north_america,2012,2022,05-31,06-21,0.8473916236803216,0.25688506012413326
calqua,California Quail,resident,north_america,2012,2022,03-01,05-10,0.8954232390923668,0.1802286144704574
calthr,California Thrasher,resident,north_america,2011,2021,11-29,03-15,0.8882932277881862,-0.4597544676675931
caltow,California Towhee,resident,north_america,2012,2022,01-18,04-26,0.9441713597014088,-0.31535748559929067
camwar,Cape May Warbler,nonbreeding,north_america,2011,2021,11-29,03-22,0.7662862566302482,-0.2885018993874263
cangoo,Canada Goose,breeding,north_america,2012,2022,06-14,08-09,0.8631362427990762,-0.00326273972985882
cantow,Canyon Towhee,resident,north_america,2012,2022,01-18,05-10,0.8723961702126776,0.24317125695381217
canvas,Canvasback,nonbreeding,north_america,2011,2021,12-20,01-25,0.4774301140916313,0.6750247382405496
canwar,Canada Warbler,breeding,north_america,2012,2022,06-14,07-26,0.7225041880263933,1.032714318133041
canwre,Canyon Wren,resident,north_america,2012,2022,01-11,03-22,0.8494783727826635,0.09276843419246504
capspa1,Cape Sparrow,resident,south_africa,2016,2022,06-14,08-23,0.7635627781810329,1.1653906802820668
carchi,Carolina Chickadee,resident,north_america,2012,2022,02-01,04-05,0.8662195286148857,-0.3962949211926858
carwre,Carolina Wren,resident,north_america,2012,2022,03-01,05-03,0.9252018498295148,0.05610813973610124
casfin,Cassin's Finch,breeding,north_america,2012,2022,05-31,08-30,0.8747966527785248,0.07113891142679829
caskin,Cassin's Kingbird,breeding,north_america,2012,2022,05-31,07-12,0.8550547548966102,-0.270993481631213
casspa,Cassin's Sparrow,breeding,north_america,2012,2022,05-31,08-09,0.8172303898736757,0.6304713910176564
caster1,Caspian Tern,breeding,north_america,2012,2022,05-31,07-12,0.6250163653602054,0.5420718343541302
casvir,Cassin's Vireo,breeding,north_america,2012,2022,06-21,07-12,0.8342878540507048,0.23312878663545525
categr,Cattle Egret,breeding,north_america,2012,2022,05-17,08-30,0.7869928823705654,0.5911247165475741
cavswa,Cave Swallow,breeding,north_america,2012,2022,05-17,07-19,0.8331587349201492,0.6711246272844291
cedwax,Cedar Waxwing,breeding,north_america,2012,2022,06-21,08-16,0.9034933305522198,0.09292200058442984
cerwar,Cerulean Warbler,breeding,north_america,2012,2022,05-24,07-12,0.7499475900217257,1.3202567004277417
chbchi,Chestnut-backed Chickadee,resident,north_america,2012,2022,02-01,06-21,0.7950281259947931,-0.4998891649591524
chbcuc2,Channel-billed Cuckoo,breeding,aus_nz,2013,2021,12-06,02-15,0.7701725234909865,-0.17382898401148644
chcant2,Chestnut-crowned Antpitta,resident,south_america,2015,2022,01-04,05-17,0.6383280612511363,0.3277269468555283
chhoro1,Chestnut-headed Oropendola,resident,north_america,2011,2021,09-27,02-08,0.6963313707381872,0.44405344967871135
chicar1,Chimango Caracara,resident,south_america,2015,2022,03-15,10-11,0.7550074069762475,0.1362991934866394
chifli1,Chilean Flicker,resident,south_america,2014,2021,11-08,04-12,0.7081462501992656,0.447491951167119
chirav,Chihuahuan Raven,resident,north_america,2012,2022,02-01,04-26,0.6927765467783761,0.7172169067834455
chispa,Chipping Sparrow,breeding,north_america,2012,2022,06-14,07-05,0.9059845661290729,0.08084116619325057
chiswa1,Chilean Swallow,breeding,south_america,2014,2021,10-25,02-15,0.736512250480408,0.2174865990893622
chiswi,Chimney Swift,breeding,north_america,2012,2022,05-31,07-12,0.9010405872736598,0.212201763637228
chswar,Chestnut-sided Warbler,breeding,north_america,2012,2022,06-14,08-02,0.8756969848631114,0.08799031756591388
chukar,Chukar,resident,north_america,2012,2022,01-04,12-27,0.7982353717656854,0.8888491224385836
chwwid,Chuck-will's-widow,breeding,north_america,2012,2022,05-31,07-05,0.6738306939394125,0.03590854251880474
cinhar1,Cinereous Harrier,breeding,south_america,2014,2021,10-04,02-01,0.5284625957948236,1.3665149000948713
cinhum1,Cinnamon Hummingbird,resident,north_america,2011,2021,09-06,01-18,0.7995341069562301,0.16106251483075718
cintea,Cinnamon Teal,breeding,north_america,2012,2022,05-24,07-05,0.831585410775303,0.4052268605739068
clanut,Clark's Nutcracker,resident,north_america,2012,2022,04-26,08-23,0.8228409946156103,0.14767762889993133
clarai11,Clapper Rail,breeding,north_america,2012,2022,05-24,09-13,0.8599027474957074,0.03393066639683092
